x_norm,y,mean_x,sd_x,pdp_var,season,window,window_c,x
-1.0167463381424948,3.471920625166666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,16.621972348555566
-1.0151382901634944,3.472140717666666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,16.716876597600653
-1.0119221942054935,3.4728335539999993,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,16.906685095690847
-1.008706098247493,3.4732689913333328,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,17.09649359378102
-1.0038819543104915,3.473408693666666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,17.3812063409163
-1.000665858352491,3.473567934666666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,17.571014839006473
-0.9974497623944901,3.4736901859999993,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,17.76082333709666
-0.9910175704784886,3.474102671166666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,18.14044033327702
-0.98619342654148745,3.474175908833333,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,18.425153080412294
-0.9797612346254858,3.4743312428333324,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,18.804770076592668
-0.9733290427094843,3.4744425688333327,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,19.184387072773028
-0.9652888028144824,3.4746758139999994,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,19.65890831799848
-0.9556405149404801,3.4749019084999992,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,20.228333812269028
-0.9492083230244786,3.4749790764999995,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,20.607950808449388
-0.9411680831294766,3.4749822529999994,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,21.08247205367484
-0.9347358912134751,3.475081544666666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,21.46208904985521
-0.9266956513184732,3.4750331354999995,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,21.936610295080662
-0.9154393154654704,3.475036459499999,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,22.600940038396303
-0.8993588356754666,3.4749923688333326,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,23.54998252884721
-0.8816703079064624,3.475015847333333,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,24.59392926834321
-0.8607656841794573,3.474968911166666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,25.82768450592939
-0.8334288685364508,3.4749171199999993,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,27.441056739695938
-0.8028759569354434,3.474987097666666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,29.244237471552665
-0.7691069493764354,3.474952487333333,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,31.237226701499573
-0.7373319213113876,3.474105963166666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,33.11253466263059
-0.70478503021642,3.4734965834999993,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,35.03339666330321
-0.6661918787204107,3.4733110364999993,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,37.311098640385396
-0.6259906792454011,3.4730362379999993,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,39.68370486651267
-0.5841814317913911,3.473022453999999,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,42.15121534168503
-0.5423721843373811,3.472962706166666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,44.6187258168574
-0.50217098486237155,3.472716330833333,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,46.991332042984666
-0.46036173740836145,3.4726882066666662,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,49.458842518157034
